Original_Relation,Mapped_ID
concept:agentcompeteswithagent,0
concept:superpartof,1
concept:inverseofagriculturalproductcookedwithagricultureproduct,2
concept:mutualproxyfor,3
concept:journalistwritesforpublication,4
concept:proxyof,5
concept:companyalsoknownas,6
concept:subpartof,7
concept:citysportsteams,8
concept:clothingtogowithclothing,9
concept:dateof,10
concept:competeswith,11
concept:inverseofanimalfeedoninsect,12
concept:locationcontainslocation,13
concept:locatedat,14
concept:controlledbyagent,15
concept:personhiredbyorganization,16
concept:citylocatedincountry,17
concept:agentcollaborateswithagent,18
concept:animaltypehasanimal,19
concept:inverseofpersongraduatedfromuniversity,20
concept:superpartoforganization,21
concept:teamhomestadium,22
concept:agentbelongstoorganization,23
concept:geopoliticallocationcontainscountry,24
concept:worker,25
concept:agentcontrols,26
concept:subpartoforganization,27
concept:citylocatedingeopoliticallocation,28
concept:countryoforganizationheadquarters,29
concept:locationlocatedwithinlocation,30
concept:personbelongstoorganization,31
concept:worksfor,32
concept:hasofficeincity,33
concept:proxyfor,34
concept:teamplaysagainstteam,35
concept:leagueteams,36
concept:organizationhasagent,37
concept:cityattractions,38
concept:synonymfor,39
concept:agentcreated,40
concept:atdate,41
concept:personleadsorganization,42
concept:animalpreyson,43
concept:cityhascompanyoffice,44
concept:countrycapital,45
concept:cityoforganizationheadquarters,46
concept:atlocation,47
concept:citylocatedinstate,48
concept:musicianplaysinstrument,49
concept:teamalsoknownas,50
concept:inverseofarthropodandotherarthropod,51
concept:organizationheadquarteredincity,52
concept:citycontainsbuilding,53
concept:personhascitizenship,54
concept:locationactedinbyagent,55
concept:organizationhastopmember,56
concept:televisioncompanyaffiliate,57
concept:citytelevisionstation,58
concept:organizationhasperson,59
concept:organizationleadbyperson,60
concept:persondiedincountry,61
concept:statelocatedingeopoliticallocation,62
concept:coachworksincountry,63
concept:televisionstationaffiliatedwith,64
concept:stateorprovinceisborderedbystateorprovince,65
concept:stadiumhometoleague,66
concept:organizationhiredperson,67
concept:teamplaysinleague,68
concept:inverseofanimaleatvegetable,69
concept:animalpredators,70
concept:specializationof,71
concept:hasofficeincountry,72
concept:stadiumhometeam,73
concept:agentactsinlocation,74
concept:companyceo,75
concept:languageofcountry,76
concept:countryalsoknownas,77
concept:teamplayssport,78
concept:acquiredby,79
concept:televisionstationincity,80
concept:animalistypeofanimal,81
concept:countryhascitizen,82
concept:organizationterminatedperson,83
concept:arthropodandotherarthropod,84
concept:inverseofarthropodcalledarthropod,85
concept:countrycities,86
concept:personterminatedbyorganization,87
concept:persongraduatedschool,88
concept:countrylocatedingeopoliticallocation,89
concept:createdbyagent,90
concept:inverseofautomobilemakerdealersincity,91
concept:personwrittenaboutinpublication,92
concept:ceoof,93
concept:locationofpersonbirth,94
concept:countrylanguage,95
concept:professiontypehasprofession,96
concept:eventhasparticipantagent,97
concept:countryhascompanyoffice,98
concept:organizationalsoknownas,99
concept:citycapitalofstate,100
concept:animalthatfeedoninsect,101
concept:officeheldbypolitician,102
concept:animalsuchasinsect,103
concept:riverflowsthroughcity,104
concept:hotelincity,105
concept:statecontainscity,106
concept:animalsuchasinvertebrate,107
concept:generalizationof,108
concept:cityalsoknownas,109
concept:organizationheadquarteredinstateorprovince,110
concept:parentofperson,111
concept:inverseofcountriessuchascountries,112
concept:animaleatfood,113
concept:teamplaysincity,114
concept:inverseofathleteledsportsteam,115
concept:athleteplaysinleague,116
concept:bodypartwithinbodypart,117
concept:sportfansincountry,118
concept:sportschoolincountry,119
concept:citycapitalofcountry,120
concept:arthropodthatfeedoninsect,121
concept:leaguestadiums,122
concept:geopoliticallocationcontainscity,123
concept:schoolgraduatedperson,124
concept:citystadiums,125
concept:organizationdissolvedatdate,126
concept:headquarteredin,127
concept:politicianrepresentslocation,128
concept:stateorprovinceoforganizationheadquarters,129
concept:personleadsgeopoliticalorganization,130
concept:inverseoflanguegeschoolincity,131
concept:agentparticipatedinevent,132
concept:hospitalincity,133
concept:schoolattendedbyperson,134
concept:statelocatedincountry,135
concept:stadiumlocatedincity,136
concept:personleadscity,137
concept:dateoforganzationdissolution,138
concept:topmemberoforganization,139
concept:geopoliticallocationcontainsstate,140
concept:inverseofvegetableproductioninstateorprovince,141
concept:organizationheadquarteredincountry,142
concept:languageofuniversity,143
concept:buildinglocatedincity,144
concept:universityhasacademicprogram,145
concept:politicianusendorsespoliticianus,146
concept:inverseofanimalsuchasinvertebrate,147
concept:inverseofcoachworksincountry,148
concept:teammember,149
concept:companiesheadquarteredhere,150
concept:coachesteam,151
concept:politicianusholdsoffice,152
concept:acquired,153
concept:inverseofanimalsuchasinsect,154
concept:personmovedtostateorprovince,155
concept:animaleatvegetable,156
concept:persongraduatedfromuniversity,157
concept:inverseofclothingmadefromplant,158
concept:teamcoach,159
concept:automobilemakerdealersincity,160
concept:hasfamilymember,161
concept:inverseofsportschoolincountry,162
concept:cityhotels,163
concept:bankbankincountry,164
concept:athleteplaysforteam,165
concept:inverseofanimaleatfood,166
concept:languageofcity,167
concept:personhasresidenceingeopoliticallocation,168
concept:personattendsschool,169
concept:countrycurrency,170
concept:athleteplayssport,171
concept:chemicaltypehaschemical,172
concept:jobpositionheldbyperson,173
concept:agriculturalproductcookedwithagriculturalproduct,174
concept:currencycountry,175
concept:locationrepresentedbypolitician,176
concept:sportteam,177
concept:organizationnamehasacronym,178
concept:politicianholdsoffice,179
concept:stadiumhometosport,180
concept:agriculturalproductgrowinginstateorprovince,181
concept:politicianusmemberofpoliticalgroup,182
concept:organizationacronymhasname,183
concept:musicgenreartist,184
concept:economicsectorcompany,185
concept:leaguecoaches,186
concept:hassibling,187
concept:fatherofperson,188
concept:geopoliticalorganizationleadbyperson,189
concept:automobilemakercardealersinstateorprovince,190
concept:politicianusendorsedbypoliticianus,191
concept:musicartistmusician,192
concept:publicationjournalist,193
concept:personborninlocation,194
concept:personbornincity,195
concept:musicianinmusicartist,196
concept:personalsoknownas,197
concept:inverseofpersonmovedtostateorprovince,198
concept:universityoperatesinlanguage,199
concept:inverseofautomobilemakercardealersinstateorprovince,200
concept:arthropodcalledarthropod,201
concept:iteminvolvedwithagent,202
concept:professionistypeofprofession,203
concept:producesproduct,204
concept:geopoliticallocationresidenceofpersion,205
concept:bodypartcontainsbodypart,206
concept:citynewspaper,207
concept:academicprogramatuniversity,208
concept:airportincity,209
concept:ismultipleof,210
concept:players,211
concept:inverseofsportfansincountry,212
concept:arthropodlookslikeinsect,213
concept:hashusband,214
concept:personhasparent,215
concept:newspaperincity,216
concept:inverseofbankboughtbank,217
concept:inverseofagriculturalproducttoattractinsect,218
concept:statehascapital,219
concept:inverseofautomobilemakerdealersincountry,220
concept:organizationcreatedatdate,221
concept:agriculturalproductincludingagriculturalproduct,222
concept:dateoforganizationcreation,223
concept:vegetableproductioninstateorprovince,224
concept:cityradiostation,225
concept:inverseofbankbankincountry,226
concept:inverseofarthropodfeedoninsect,227
concept:inverseofwriterwasbornincity,228
concept:companyeconomicsector,229
concept:officeheldbypoliticianus,230
concept:inverseofdiseasemaybecausedbydrug,231
concept:cityparks,232
concept:languageschoolincity,233
concept:citylanguage,234
concept:countriessuchascountries,235
concept:teamingame,236
concept:musicartistgenre,237
concept:motherofperson,238
concept:sportusesstadium,239
concept:politicalgroupofpoliticianus,240
concept:inverseoffooddecreasestheriskofdisease,241
concept:attractionofcity,242
concept:cityhastransportation,243
concept:inverseofautomobilemakerchiefexecutiveceo,244
concept:agentinvolvedwithitem,245
concept:animalssuchasmammals,246
concept:websiteoperatedbyagent,247
concept:stadiumoreventvenuedisclosescompany,248
concept:personhasresidenceincountry,249
concept:agenthaswebsite,250
concept:coachesinleague,251
concept:countrystates,252
concept:roomcancontainitem,253
concept:publicationwritesabout,254
concept:athleteledsportsteam,255
concept:automobilemakerdealersincountry,256
concept:politicianuswenttoschool,257
concept:cityleadbyperson,258
concept:hasspouse,259
concept:instrumentplayedbymusician,260
concept:arachnidiseatenbybird,261
concept:inverseofagriculturalproductincludingagriculturalproduct,262
concept:producedby,263
concept:inverseofmammalsuchasmammal,264
concept:itemexistsatlocation,265
concept:cityliesonriver,266
concept:personborninstateorprovince,267
concept:parkincity,268
concept:inverseofagriculturalproductgrowinginstateorprovince,269
concept:citymuseums,270
concept:inverseofagriculturalproductcamefromcountry,271
concept:bankboughtbank,272
concept:athletehomestadium,273
concept:inverseofanimalsuchasmollusk,274
concept:leagueplayers,275
concept:ageofperson,276
concept:countryofpersondeath,277
concept:agriculturalproducttoattractinsect,278
concept:chemicalistypeofchemical,279
concept:inverseofpoliticianuswenttoschool,280
concept:agentcontributedtocreativework,281
concept:cityhostsattraction,282
concept:fooddecreasestheriskofdisease,283
concept:bankchiefexecutiveceo,284
concept:countryproducesproduct,285
concept:inverseofweaponmadeincountry,286
concept:automodelproducedbymaker,287
concept:creativeworkcontributedtobyagent,288
concept:inverseofcountryisthehomeofsportsteam,289
concept:isoneoccurrenceof,290
concept:isshorterthan,291
concept:athletealsoknownas,292
concept:scenecontainsobject,293
concept:inverseofbankchiefexecutiveceo,294
concept:clothingmadefromplant,295
concept:diseasemaybecausedbydrug,296
concept:arthropodcanbeveryirritatingtomammal,297
concept:locationofitemexistence,298
concept:sportusesequipment,299
concept:cityofpersonbirth,300
concept:animalsuchasfish,301
concept:inverseofagriculturalproductgrowninlandscapefeature,302
concept:persondiedincity,303
concept:personhasresidenceinstateorprovince,304
concept:writerwasbornincity,305
concept:cityuniversities,306
concept:personhasjobposition,307
concept:attractionbefallincity,308
concept:animaldevelopdisease,309
concept:yearofmarriage,310
concept:beveragemadefrombeverage,311
concept:academicfieldusedbyeconomicsector,312
concept:countrycontainsfarm,313
concept:inverseofinvertebrateturnintoinsect,314
concept:agentworkedondrug,315
concept:subjectconcernedbyacademicfield,316
concept:academicfieldsuchasacademicfield,317
concept:inverseofstadiumoreventvenuedisclosescompany,318
concept:academicfieldconcernssubject,319
concept:automobilemakerchiefexecutiveceo,320
concept:wifeof,321
concept:organizationhasofficialwebsite,322
concept:lakeinstate,323
concept:cityhasairport,324
concept:ownedbyagent,325
concept:agentholdssharesincompany,326
concept:animalsuchasmollusk,327
concept:radiostationincity,328
concept:inverseofcoachcanspeaklanguage,329
concept:countryisthehomeofsportsteam,330
concept:professionactsatthesameareaofpoliticissue,331
concept:istallerthan,332
concept:officialwebsiteoforganization,333
concept:mammalsuchasmammal,334
concept:stateorprovinceofpersonbirth,335
concept:insecteatsgrain,336
concept:stadiumhometoathlete,337
concept:inverseofvegetableisproducedatcountry,338
concept:sportsgameteam,339
concept:winneringame,340
concept:inverseofanimalsuchasfish,341
concept:marriedinyear,342
concept:fishservedwithfood,343
concept:teammate,344
concept:productproducedincountry,345
concept:drugworkedonbyagent,346
concept:transportationincity,347
concept:inverseofarthropodlooklikeinsect,348
concept:musicalartisthadapetanimal,349
concept:inverseofanimaldevelopdisease,350
concept:agriculturalproductcamefromcountry,351
concept:inverseofanimalssuchasmammals,352
concept:haswife,353
concept:inverseofinvertebratefeedonfood,354
concept:mammalcanbeirritatedbyarthropod,355
concept:personhasresidenceincity,356
concept:inverseofacademicfieldsuchasacademicfield,357
concept:locationofpersondeath,358
concept:farmlocatedincountry,359
concept:cityhashospital,360
concept:dateofpersonbirth,361
concept:inverseofmusicalartisthadapetanimal,362
concept:statehaslake,363
concept:athleteinjuredhisbodypart,364
concept:personhasmother,365
concept:statecontainsfarm,366
concept:museumincity,367
concept:automakerproducesmodel,368
concept:itemfoundinroom,369
concept:organizationcreatedbyperson,370
concept:sportsgamedate,371
concept:countryresidenceofperson,372
concept:vegetableisproducedatcountry,373
concept:economicsectorusingacademicfield,374
concept:coachcanspeaklanguage,375
concept:cityresidenceofperson,376
concept:sportsgamewinner,377
concept:weaponmadeincountry,378
concept:agentowns,379
concept:equipmentusedbysport,380
concept:inverseofarachnidiseatenbybird,381
concept:sportnamehasoriginlanguage,382
concept:invertebratefeedonfood,383
concept:stateorprovinceresidenceofperson,384
concept:coachesathlete,385
concept:inverseofathleteinjuredhisbodypart,386
concept:farmlocatedinstate,387
concept:objectfoundinscene,388
concept:personhasage,389
concept:universityincity,390
concept:persondeathdate,391
concept:persondiedinlocation,392
concept:invertebrateturnintoinsect,393
concept:inverseoffishservedwithfood,394
concept:personhasfather,395
concept:dateofsportsgame,396
concept:inverseofbeveragemadefrombeverage,397
concept:inverseofinsecteatsgrain,398
concept:academicfieldusedinjobposition,399
concept:agentcreatedorganization,400
concept:statehasmountain,401
concept:dateofpersondeath,402
concept:cityofpersondeath,403
concept:agriculturalproductgrowninlandscapefeatures,404
concept:companyhasshareholder,405
concept:countryofpersonbirth,406
concept:husbandof,407
concept:languageofsportsgame,408
concept:personbirthdate,409
concept:jobpositionusesacademicfield,410
concept:athletecoach,411
concept:mountaininstate,412
concept:inverseofprofessionactsatthesameareaofpoliticissue,413
concept:agriculturalproductproducedbyfarm,414
concept:personbornincountry,415
concept:farmproducesagriculturalproduct,416
